abstention,arm,bounds_pass,contrast,coverage,ece,elapsed_seconds,h8_nll,invalid_reason,kind,lower,marginals_pass,passed,peak_vram_bytes,reason,regime,safe_service,safe_service_eligible_fold_count,safe_service_eligible_only,safe_service_total_fold_count,seed,status,tau,temperature,unsafe_selection,upper
0.5513915401897939,Z,,,0.44860845981020614,0.13454413049576355,54.067857863992685,0.2372267710781955,,,,,,0,,ID,0.9510664682539682,128,0.9510664682539682,128,107,VALID,0.8379079768855391,1.25,0.6390292465143108,
0.5156525498092593,T,,,0.48434745019074066,0.11985851582274375,56.3517163409997,0.1885126853467201,,,,,,0,,ID,0.9752449156746031,128,0.9752449156746031,128,107,VALID,0.7415541664081254,1.5,0.6248086995214752,
0.5037814399142524,R,,,0.4962185600857476,0.23278008432510464,79.73378681400209,0.5232346543468573,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9683087027914614,128,107,INVALID,0.8239818927535514,1.25,0.8205862605276668,
0.42578962920759794,CM,,,0.574210370792402,0.24459662298990748,81.4840512899973,0.5052490540461398,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.5797413793103449,128,107,INVALID,0.8778500101955835,1.75,0.8593661655185093,
0.46430122611763236,Z,,,0.5356987738823676,0.2778309978453119,83.23331183299888,0.5821615120962278,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.8420771756978653,128,107,INVALID,0.8379079768855391,1.25,0.8241324647574647,
0.43271702256077255,T,,,0.5672829774392274,0.2215973168544028,85.0587736239977,0.46628527225478156,metrics: missing safe_service denominator,,,,,0,,shift,,103,0.9410919540229885,128,107,INVALID,0.7415541664081254,1.5,0.8226540928689366,
0.5123712008477633,R,,,0.48762879915223667,0.2894468047735987,107.23393960799149,0.720376037138962,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9739583333333334,128,107,INVALID,0.8239818927535514,1.25,0.9129035894660895,
0.40551271645021647,CM,,,0.5944872835497835,0.3171311473493647,108.81690661099856,0.7232546665336258,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.3845486111111111,128,107,INVALID,0.8778500101955835,1.75,0.9457239808802309,
0.4246524959415584,Z,,,0.5753475040584416,0.363988936639727,110.38756043800095,0.8187352864775996,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.6128472222222222,128,107,INVALID,0.8379079768855391,1.25,0.9262454342532468,
0.36023375496031745,T,,,0.6397662450396825,0.2779700310441898,111.9262319089903,0.6372087984211412,metrics: missing safe_service denominator,,,,,0,,OOD,,71,0.9713541666666666,128,107,INVALID,0.7415541664081254,1.5,0.9118777056277056,
,,False,CM-R,,,,,,contrast,"[[0.0012275058120513396, -0.006882625970690562, 0.0024759671775849566, None, 0.03536325648960679], [-0.021790086240333805, 0.007593271863025671, 0.0029176081595923735, None, 0.05753000985357075], [0.006213643291865758, 0.006044730305054815, 0.021576320685358853, None, 0.08476781831068578]]",False,False,,dependent endpoint unavailable: safe_service,,,,,,,INVALID,,,,"[[0.035688199746559235, 0.01257854509111263, 0.016827730717332578, None, 0.06439790963153785], [0.05541299510605647, 0.04252484767417174, 0.025728936579435133, None, 0.09538974917623724], [0.09839637112029206, 0.037380613147278044, 0.0442519885268971, None, 0.13862355075966845]]"
,,False,CM-Z,,,,,,contrast,"[[-0.02773302253439776, -0.016475007059828288, -0.0077218754380954345, None, 0.04042863503741], [-0.08446397246319365, 0.005733825682659747, -0.03505292221798997, None, 0.00989731863237773], [-0.10838591211538477, -0.00516643012312774, -0.04648250495650292, None, 0.00022268511072354372]]",False,False,,dependent endpoint unavailable: safe_service,,,,,,,INVALID,,,,"[[0.00651460542860016, 0.005003269748031721, 0.006003414789875581, None, 0.06533807982135711], [-0.017394737780017558, 0.044120028365384, -0.013298784102804872, None, 0.05034149116062371], [-0.023101534547081366, 0.03622500369566731, -0.02455013970534887, None, 0.040257452843937856]]"
,,False,CM-T,,,,,,contrast,"[[0.02317068303194041, 0.0006423443523089752, 0.007890720381378615, None, 0.0011055130214966734], [0.030493846253784214, 0.005454960708972603, 0.023386076491661835, None, -0.021442928842216828], [0.05093715964101377, -0.00042207555835683077, 0.04216934447256158, None, -0.0668220820216836]]",False,False,,dependent endpoint unavailable: safe_service,,,,,,,INVALID,,,,"[[0.0646541937112616, 0.017386854666655165, 0.02622002873953412, None, 0.04126985296875376], [0.141739575127647, 0.03968813232428243, 0.05807133745735668, None, 0.06801396636276329], [0.21645519670233868, 0.036666742119792504, 0.08562131292618648, None, 0.04661907591524162]]"
,,False,R-Z,,,,,,contrast,"[[-0.037478536704569534, -0.014192589401478753, -0.016630127583460174, None, -0.011396829566446264], [-0.08902812095341811, -0.008109913385741425, -0.0467821302553168, None, -0.06724475912135186], [-0.14805526146046313, -0.018120410547715855, -0.08057919318232638, None, -0.11664041664731127]]",False,False,,dependent endpoint unavailable: safe_service,,,,,,,INVALID,,,,"[[-0.019314519498598436, -0.003334400723718476, -0.005136014221239057, None, 0.016631686334532915], [-0.04622224863846383, 0.008101676019048583, -0.03140820384457212, None, -0.024442801307671232], [-0.08185981554730569, 0.0021034766629060586, -0.05686625667666052, None, -0.0663841067348357]]"
,,False,R-T,,,,,,contrast,"[[0.010864317793926135, -0.0002849467399968183, -0.001553817947836581, None, -0.046813824666224156], [0.024952252562894694, -0.010551077470933083, 0.012694319514678568, None, -0.09513332922391574], [0.028495956557230653, -0.011054061537503528, 0.014869694818204021, None, -0.1754509312251179]]",False,False,,dependent endpoint unavailable: safe_service,,,,,,,INVALID,,,,"[[0.03841337948275436, 0.013372692696306629, 0.012852872729093974, None, -0.012361238633484992], [0.11134803432264904, 0.004496321590301652, 0.037114470583473315, None, -0.012242366217815541], [0.15922929688314197, 0.0029434013207260117, 0.04377656415709329, None, -0.06523834820448192]]"
,,False,Z-T,,,,,,contrast,"[[0.03797424899463808, 0.007655633811791807, 0.00900445145027971, None, -0.05219980062112943], [0.09167576611736665, -0.0116733619244131, 0.05096840135417811, None, -0.05345497081571634], [0.13700500217754677, -0.006941095901238591, 0.07888380551571376, None, -0.08853133855459897]]",False,False,,dependent endpoint unavailable: safe_service,,,,,,,INVALID,,,,"[[0.06878799355730651, 0.02360262867802202, 0.02570100652444081, None, -0.012562793742905276], [0.17505530289427224, 0.00595306371691704, 0.07809569123386914, None, 0.032008605509178334], [0.2682928972639606, 0.015439595074895805, 0.118144948489209, None, 0.02640094244104508]]"
